policy_id,vehicle_age,driver_age,bonus_malus,vehicle_class,region,displacement_cc,annual_mileage_km,exposure_usd,log10_exposure_usd,duration,log_duration,class_B,class_C,class_D,is_urban,is_suburban,capped_claims_usd,capped_claims_kusd
48,18.0,54.0,299.2,B,Urban,1403.0,20980.0,120600.0,5.0813,0.8978,-0.10783,1.0,0.0,0.0,1.0,0.0,1602.01,1.602
49,14.0,34.0,97.7,D,Suburban,1393.0,44447.0,109600.0,5.0398,0.5096,-0.674223,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50,16.0,70.0,344.1,C,Rural,3439.0,34368.0,79900.0,4.9025,0.6897,-0.371519,0.0,1.0,0.0,0.0,0.0,556.85,0.5569
51,15.0,43.0,117.7,A,Rural,2030.0,19391.0,68000.0,4.8325,0.6686,-0.402641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4.0,26.0,176.5,A,Rural,3507.0,48666.0,222200.0,5.3467,0.9352,-0.06698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,7.0,73.0,217.6,C,Suburban,4246.0,27549.0,95200.0,4.9786,0.9778,-0.022441,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54,9.0,70.0,86.1,B,Suburban,1123.0,5365.0,48100.0,4.6821,0.7244,-0.32245,1.0,0.0,0.0,0.0,1.0,0.0,0.0
55,10.0,20.0,295.0,C,Rural,4347.0,5277.0,84400.0,4.9263,0.8886,-0.118162,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,0.0,70.0,132.4,A,Rural,958.0,47345.0,385900.0,5.5865,0.6732,-0.395782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,11.0,72.0,214.8,A,Rural,4575.0,17653.0,123400.0,5.0913,0.8583,-0.152772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,3.0,66.0,214.9,B,Rural,4898.0,41543.0,54900.0,4.7396,0.899,-0.106525,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,15.0,32.0,230.8,C,Rural,3603.0,6960.0,72400.0,4.8597,0.8007,-0.222277,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,14.0,54.0,66.6,D,Urban,4934.0,11611.0,108700.0,5.0362,0.9341,-0.068138,0.0,0.0,1.0,1.0,0.0,8741.06,8.7411
61,19.0,49.0,100.6,D,Urban,4252.0,43555.0,53600.0,4.7292,0.8209,-0.197294,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62,15.0,53.0,98.4,B,Rural,986.0,49734.0,49900.0,4.6981,0.8481,-0.164745,1.0,0.0,0.0,0.0,0.0,1471.05,1.471
63,7.0,53.0,140.6,C,Suburban,816.0,7337.0,74300.0,4.871,0.8589,-0.152073,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64,20.0,55.0,93.5,A,Urban,887.0,12544.0,252800.0,5.4028,0.8873,-0.119521,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,8.0,47.0,326.6,B,Suburban,2698.0,37531.0,141200.0,5.1498,0.7813,-0.246788,1.0,0.0,0.0,0.0,1.0,2745.71,2.7457
66,6.0,58.0,203.9,D,Suburban,3418.0,28828.0,54000.0,4.7324,0.7607,-0.273493,0.0,0.0,1.0,0.0,1.0,0.0,0.0
67,19.0,48.0,237.1,B,Rural,2822.0,23268.0,150300.0,5.177,0.7671,-0.265124,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,7.0,18.0,157.2,D,Rural,3644.0,13751.0,75500.0,4.8779,0.8895,-0.117145,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,1.0,20.0,132.9,A,Urban,2688.0,47545.0,98800.0,4.9948,0.8136,-0.206313,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,9.0,73.0,201.0,A,Urban,979.0,12752.0,91900.0,4.9633,0.9422,-0.059548,0.0,0.0,0.0,1.0,0.0,0.0,0.0
71,16.0,70.0,138.3,B,Urban,1750.0,16936.0,20000.0,4.301,0.9648,-0.035798,1.0,0.0,0.0,1.0,0.0,0.0,0.0
72,3.0,51.0,153.1,D,Rural,4969.0,19593.0,20000.0,4.301,0.8793,-0.128591,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,9.0,28.0,185.8,A,Urban,2253.0,11236.0,89900.0,4.9538,0.7557,-0.280066,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74,2.0,63.0,201.7,C,Suburban,2164.0,29130.0,37900.0,4.5786,0.7153,-0.33506,0.0,1.0,0.0,0.0,1.0,0.0,0.0
75,14.0,26.0,345.3,A,Suburban,1442.0,20360.0,20200.0,4.3054,0.9265,-0.076343,0.0,0.0,0.0,0.0,1.0,5907.27,5.9073
76,9.0,39.0,117.0,C,Suburban,4946.0,32353.0,38900.0,4.5899,0.8089,-0.212023,0.0,1.0,0.0,0.0,1.0,0.0,0.0
77,6.0,37.0,196.4,B,Suburban,1768.0,21554.0,157200.0,5.1965,0.9107,-0.09358,1.0,0.0,0.0,0.0,1.0,0.0,0.0
78,4.0,18.0,94.9,A,Suburban,3517.0,10239.0,99900.0,4.9996,0.7379,-0.304012,0.0,0.0,0.0,0.0,1.0,3776.26,3.7763
79,11.0,64.0,155.0,C,Suburban,977.0,44267.0,139100.0,5.1433,0.7609,-0.273284,0.0,1.0,0.0,0.0,1.0,0.0,0.0
80,14.0,47.0,265.2,C,Urban,1079.0,27934.0,107800.0,5.0326,0.601,-0.50915,0.0,1.0,0.0,1.0,0.0,0.0,0.0
81,19.0,36.0,102.3,B,Urban,3810.0,19483.0,36000.0,4.5563,0.7094,-0.343401,1.0,0.0,0.0,1.0,0.0,0.0,0.0
82,9.0,47.0,224.4,A,Suburban,3468.0,5736.0,139600.0,5.1449,0.8959,-0.109922,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,3.0,18.0,175.0,A,Urban,3657.0,31903.0,119800.0,5.0785,0.7681,-0.263838,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,17.0,43.0,65.5,D,Suburban,1770.0,40213.0,68300.0,4.8344,0.4273,-0.850154,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,13.0,48.0,329.9,C,Urban,4937.0,34253.0,78600.0,4.8954,0.7646,-0.268339,0.0,1.0,0.0,1.0,0.0,0.0,0.0
86,14.0,37.0,174.1,C,Rural,3145.0,40447.0,141400.0,5.1504,0.85,-0.162488,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,2.0,66.0,285.2,C,Urban,4872.0,11974.0,41200.0,4.6149,0.8154,-0.20407,0.0,1.0,0.0,1.0,0.0,0.0,0.0
88,6.0,32.0,174.9,C,Suburban,1490.0,48727.0,179100.0,5.2531,0.6578,-0.418869,0.0,1.0,0.0,0.0,1.0,0.0,0.0
89,16.0,25.0,331.2,A,Urban,2501.0,14510.0,117900.0,5.0715,0.6511,-0.429081,0.0,0.0,0.0,1.0,0.0,10845.4,10.8454
90,17.0,48.0,137.1,B,Suburban,2210.0,17005.0,75100.0,4.8756,0.958,-0.042875,1.0,0.0,0.0,0.0,1.0,19974.26,19.9743
91,9.0,69.0,173.7,C,Urban,3971.0,28055.0,255300.0,5.4071,0.4345,-0.833544,0.0,1.0,0.0,1.0,0.0,0.0,0.0
92,16.0,39.0,277.7,A,Suburban,3940.0,5234.0,26600.0,4.4249,0.7512,-0.286129,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,17.0,20.0,153.1,A,Urban,2843.0,24910.0,51900.0,4.7152,0.5654,-0.570144,0.0,0.0,0.0,1.0,0.0,6198.49,6.1985
94,8.0,74.0,159.3,B,Suburban,868.0,13808.0,43500.0,4.6385,0.889,-0.117655,1.0,0.0,0.0,0.0,1.0,0.0,0.0
95,18.0,43.0,348.4,D,Suburban,1536.0,38706.0,99900.0,4.9996,0.5901,-0.527454,0.0,0.0,1.0,0.0,1.0,0.0,0.0
96,6.0,28.0,216.7,C,Rural,1011.0,39099.0,193100.0,5.2858,0.7966,-0.22735,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,5.0,53.0,256.8,A,Suburban,4357.0,32708.0,34200.0,4.534,0.5376,-0.620659,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98,14.0,36.0,243.0,D,Suburban,2017.0,23976.0,500000.0,5.699,0.7052,-0.349275,0.0,0.0,1.0,0.0,1.0,0.0,0.0
99,13.0,72.0,298.4,A,Rural,1295.0,18961.0,44100.0,4.6444,0.771,-0.260046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2.0,35.0,308.5,A,Urban,2288.0,42236.0,100100.0,5.0004,0.4756,-0.743138,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,17.0,49.0,219.0,D,Suburban,1125.0,27819.0,75200.0,4.8762,0.7621,-0.271708,0.0,0.0,1.0,0.0,1.0,0.0,0.0
102,4.0,49.0,138.4,C,Urban,4911.0,27341.0,77800.0,4.891,0.9305,-0.072021,0.0,1.0,0.0,1.0,0.0,0.0,0.0
103,16.0,32.0,56.8,D,Suburban,2123.0,10104.0,39800.0,4.5999,0.7397,-0.301506,0.0,0.0,1.0,0.0,1.0,0.0,0.0
104,0.0,46.0,234.3,C,Urban,4719.0,14827.0,176200.0,5.246,0.7923,-0.232842,0.0,1.0,0.0,1.0,0.0,0.0,0.0
105,16.0,24.0,297.6,C,Urban,3667.0,21222.0,37900.0,4.5786,0.7317,-0.312362,0.0,1.0,0.0,1.0,0.0,0.0,0.0
106,16.0,55.0,185.2,A,Suburban,3178.0,36448.0,20000.0,4.301,0.9695,-0.031011,0.0,0.0,0.0,0.0,1.0,0.0,0.0
107,16.0,61.0,99.4,A,Urban,2797.0,43037.0,30600.0,4.4857,0.8597,-0.151117,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108,13.0,73.0,136.4,D,Urban,3687.0,49679.0,238400.0,5.3773,0.7288,-0.316334,0.0,0.0,1.0,1.0,0.0,0.0,0.0
109,9.0,36.0,203.0,D,Urban,3682.0,24234.0,203900.0,5.3094,0.8949,-0.111078,0.0,0.0,1.0,1.0,0.0,0.0,0.0
110,14.0,34.0,301.0,B,Rural,844.0,25394.0,20000.0,4.301,0.9261,-0.076769,1.0,0.0,0.0,0.0,0.0,48698.37,48.6984
111,5.0,49.0,101.5,B,Urban,4613.0,39473.0,143800.0,5.1578,0.7355,-0.307204,1.0,0.0,0.0,1.0,0.0,0.0,0.0
112,16.0,58.0,233.6,A,Urban,2345.0,19455.0,20000.0,4.301,0.8441,-0.169502,0.0,0.0,0.0,1.0,0.0,4571.88,4.5719
113,11.0,75.0,276.0,A,Rural,2284.0,29323.0,73400.0,4.8657,0.869,-0.140418,0.0,0.0,0.0,0.0,0.0,8001.29,8.0013
114,9.0,19.0,330.8,D,Rural,2508.0,35466.0,28500.0,4.4548,0.7701,-0.261241,0.0,0.0,1.0,0.0,0.0,3757.74,3.7577
115,10.0,31.0,85.0,A,Urban,3678.0,15631.0,153000.0,5.1847,0.8585,-0.152576,0.0,0.0,0.0,1.0,0.0,0.0,0.0
116,11.0,33.0,327.9,B,Suburban,2379.0,17582.0,116900.0,5.0678,0.7031,-0.352209,1.0,0.0,0.0,0.0,1.0,0.0,0.0
117,0.0,32.0,230.4,D,Urban,2370.0,21029.0,164200.0,5.2154,0.828,-0.188705,0.0,0.0,1.0,1.0,0.0,0.0,0.0
118,2.0,44.0,280.0,B,Rural,1067.0,30996.0,59200.0,4.7723,0.8863,-0.120668,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,5.0,68.0,66.1,B,Urban,2550.0,17169.0,64400.0,4.8089,0.7546,-0.281557,1.0,0.0,0.0,1.0,0.0,0.0,0.0
120,2.0,19.0,201.8,A,Urban,1428.0,14368.0,22600.0,4.3541,0.5999,-0.510962,0.0,0.0,0.0,1.0,0.0,0.0,0.0
121,9.0,65.0,236.8,A,Urban,4393.0,11728.0,32900.0,4.5172,0.8874,-0.119414,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,14.0,53.0,142.1,A,Suburban,2205.0,41419.0,160200.0,5.2047,0.5998,-0.511203,0.0,0.0,0.0,0.0,1.0,16227.44,16.2274
123,13.0,53.0,179.5,A,Urban,4836.0,44869.0,100600.0,5.0026,0.7638,-0.269448,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,9.0,57.0,216.3,A,Suburban,3675.0,45712.0,81500.0,4.9112,0.9175,-0.086117,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,17.0,24.0,215.8,A,Urban,3976.0,41974.0,205900.0,5.3137,0.6568,-0.420402,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,11.0,61.0,62.6,A,Suburban,4781.0,11178.0,26500.0,4.4232,0.5674,-0.566645,0.0,0.0,0.0,0.0,1.0,0.0,0.0
127,1.0,32.0,181.8,A,Rural,1804.0,9399.0,133400.0,5.1252,0.8921,-0.114227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,16.0,47.0,114.1,D,Urban,3183.0,27462.0,29200.0,4.4654,0.7415,-0.299132,0.0,0.0,1.0,1.0,0.0,0.0,0.0
129,12.0,57.0,325.0,A,Urban,971.0,28464.0,244600.0,5.3885,0.8048,-0.217188,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130,13.0,53.0,343.0,B,Urban,1223.0,37977.0,115900.0,5.0641,0.9602,-0.040568,1.0,0.0,0.0,1.0,0.0,0.0,0.0
131,11.0,36.0,139.9,D,Suburban,2340.0,15030.0,162200.0,5.2101,0.6139,-0.488003,0.0,0.0,1.0,0.0,1.0,0.0,0.0
132,11.0,40.0,102.6,A,Urban,3667.0,46893.0,42800.0,4.6314,0.7406,-0.300296,0.0,0.0,0.0,1.0,0.0,0.0,0.0
133,1.0,45.0,115.9,B,Suburban,4293.0,18947.0,429700.0,5.6332,0.9017,-0.10349,1.0,0.0,0.0,0.0,1.0,0.0,0.0
134,11.0,20.0,193.3,C,Suburban,1877.0,31001.0,371000.0,5.5694,0.6013,-0.508648,0.0,1.0,0.0,0.0,1.0,0.0,0.0
135,16.0,60.0,312.4,B,Suburban,3946.0,43890.0,105800.0,5.0245,0.7289,-0.316159,1.0,0.0,0.0,0.0,1.0,0.0,0.0
136,6.0,23.0,200.0,A,Suburban,1742.0,28555.0,192000.0,5.2833,0.9186,-0.084956,0.0,0.0,0.0,0.0,1.0,2490.8,2.4908
137,12.0,44.0,66.6,C,Urban,825.0,38910.0,58900.0,4.7701,0.7383,-0.303353,0.0,1.0,0.0,1.0,0.0,0.0,0.0
138,0.0,55.0,62.0,C,Urban,1029.0,38706.0,27200.0,4.4346,0.8781,-0.13004,0.0,1.0,0.0,1.0,0.0,0.0,0.0
139,7.0,22.0,118.2,B,Suburban,3259.0,40551.0,141800.0,5.1517,0.8389,-0.175711,1.0,0.0,0.0,0.0,1.0,0.0,0.0
140,9.0,75.0,302.8,A,Urban,2888.0,41497.0,35900.0,4.5551,0.913,-0.090984,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,20.0,39.0,236.4,A,Suburban,1936.0,22661.0,213900.0,5.3302,0.9034,-0.101607,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142,4.0,18.0,218.9,C,Rural,828.0,21360.0,173400.0,5.239,0.6745,-0.393771,0.0,1.0,0.0,0.0,0.0,0.0,0.0
143,5.0,56.0,145.7,A,Urban,3186.0,41157.0,90500.0,4.9566,0.8062,-0.215433,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,8.0,50.0,328.8,A,Urban,4234.0,31087.0,86600.0,4.9375,0.8394,-0.17506,0.0,0.0,0.0,1.0,0.0,0.0,0.0
145,20.0,55.0,149.4,B,Urban,1088.0,32347.0,165500.0,5.2188,0.5188,-0.6563,1.0,0.0,0.0,1.0,0.0,0.0,0.0
146,17.0,61.0,300.5,D,Urban,3893.0,23536.0,93400.0,4.9703,0.7718,-0.258974,0.0,0.0,1.0,1.0,0.0,0.0,0.0
147,0.0,45.0,318.8,A,Rural,3465.0,14073.0,54300.0,4.7348,0.6055,-0.501626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,4.0,65.0,195.0,A,Rural,2813.0,25562.0,22300.0,4.3483,0.8972,-0.108476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,17.0,39.0,318.3,B,Urban,1003.0,48634.0,161500.0,5.2082,0.9206,-0.082707,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150,1.0,49.0,133.0,C,Rural,4679.0,18089.0,100500.0,5.0022,0.8339,-0.181604,0.0,1.0,0.0,0.0,0.0,0.0,0.0
151,17.0,27.0,247.5,B,Urban,2805.0,17240.0,500000.0,5.699,0.8355,-0.179681,1.0,0.0,0.0,1.0,0.0,53494.86,53.4949
152,5.0,53.0,76.4,D,Rural,2478.0,10885.0,69500.0,4.842,0.6057,-0.501397,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,19.0,33.0,192.2,A,Rural,4418.0,26653.0,95500.0,4.98,0.7055,-0.348863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,6.0,58.0,115.2,A,Urban,4351.0,17984.0,97300.0,4.9881,0.9585,-0.042434,0.0,0.0,0.0,1.0,0.0,0.0,0.0
155,9.0,64.0,68.8,B,Suburban,3854.0,35921.0,126200.0,5.1011,0.788,-0.238209,1.0,0.0,0.0,0.0,1.0,0.0,0.0
156,13.0,67.0,51.1,A,Suburban,4283.0,11081.0,34600.0,4.5391,0.6055,-0.50163,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,2.0,71.0,147.4,B,Urban,1322.0,16129.0,70500.0,4.8482,0.9119,-0.092246,1.0,0.0,0.0,1.0,0.0,0.0,0.0
158,11.0,25.0,226.9,C,Urban,3996.0,7783.0,145400.0,5.1626,0.6221,-0.474716,0.0,1.0,0.0,1.0,0.0,11578.48,11.5785
159,10.0,26.0,186.6,A,Suburban,2178.0,6866.0,57500.0,4.7597,0.8679,-0.141656,0.0,0.0,0.0,0.0,1.0,0.0,0.0
160,16.0,71.0,140.5,C,Urban,4443.0,41636.0,141100.0,5.1495,0.9163,-0.087426,0.0,1.0,0.0,1.0,0.0,0.0,0.0
161,20.0,40.0,347.4,A,Urban,2355.0,45765.0,81000.0,4.9085,0.9361,-0.066048,0.0,0.0,0.0,1.0,0.0,0.0,0.0
162,13.0,19.0,331.9,B,Urban,1028.0,39375.0,103400.0,5.0145,0.7218,-0.325993,1.0,0.0,0.0,1.0,0.0,0.0,0.0
163,8.0,34.0,87.7,B,Suburban,2540.0,43932.0,188400.0,5.2751,0.8485,-0.164318,1.0,0.0,0.0,0.0,1.0,0.0,0.0
164,8.0,66.0,174.5,B,Urban,3978.0,8897.0,62500.0,4.7959,0.9196,-0.083802,1.0,0.0,0.0,1.0,0.0,0.0,0.0
165,8.0,38.0,244.7,A,Suburban,2904.0,45416.0,23500.0,4.3711,0.8741,-0.134594,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,17.0,22.0,270.0,D,Urban,4007.0,25972.0,60600.0,4.7825,0.9323,-0.070151,0.0,0.0,1.0,1.0,0.0,0.0,0.0
167,6.0,59.0,159.9,D,Urban,948.0,39589.0,38700.0,4.5877,0.9642,-0.036419,0.0,0.0,1.0,1.0,0.0,0.0,0.0
168,3.0,29.0,273.9,C,Suburban,1544.0,32709.0,20000.0,4.301,0.7681,-0.263864,0.0,1.0,0.0,0.0,1.0,4086.52,4.0865
169,7.0,38.0,87.2,D,Urban,3167.0,20744.0,68900.0,4.8382,0.6588,-0.417319,0.0,0.0,1.0,1.0,0.0,0.0,0.0
170,0.0,18.0,149.5,A,Suburban,2418.0,16916.0,87900.0,4.944,0.802,-0.220689,0.0,0.0,0.0,0.0,1.0,1506.88,1.5069
171,2.0,52.0,264.9,B,Urban,3657.0,10316.0,169700.0,5.2297,0.8703,-0.138943,1.0,0.0,0.0,1.0,0.0,0.0,0.0
172,1.0,43.0,237.7,A,Suburban,4843.0,23569.0,30100.0,4.4786,0.7974,-0.226364,0.0,0.0,0.0,0.0,1.0,0.0,0.0
173,16.0,68.0,301.2,D,Urban,3571.0,27235.0,80500.0,4.9058,0.7715,-0.259391,0.0,0.0,1.0,1.0,0.0,0.0,0.0
